Name,Purpose,Quantity,Total(USD),Link,Distributor
PCB,PCB,5,23,https://cart.jlcpcb.com/shopcart/cart,JLCPCB
Acrylic Sheet,Acrylic Cover,1,6.9,https://www.aliexpress.us/item/3256804556291038.html?spm=a2g0o.detail.0.0.304fw2L0w2L0v0&mp=1&pdp_npi=6%40dis%21USD%21USD+7.06%21USD+6.90%21%21USD+6.90%21%21%21%402103212317823529591156156ea06e%2112000030310589080%21ct%21US%217547000002%21%211%210%21&gatewayAdapt=glo2usa,Ali Express
M2 Screws,Screws,1,1.11,https://www.aliexpress.us/item/3256804341271555.html?spm=a2g0o.detail.0.0.11c3fgvnfgvnbD&mp=1&pdp_npi=6%40dis%21USD%21USD+1.13%21USD+1.11%21%21USD+1.11%21%21%21%402103212317823526741237199ea06e%2112000029486656873%21ct%21US%217547000002%21%211%210%21&_gl=1*1w2okpk*_gcl_aw*R0NMLjE3ODA5MDEzOTMuQ2owS0NRandyWlRSQmhEU0FSSXNBSGlkWWZmYzJVUXhzN2h4bmRrRXRuaV9hTzhjMTE2bGNYSEc5bE5mcmRBTGUwakwycWJsbHR4SzdOTWFBaFZURUFMd193Y0I.*_gcl_dc*R0NMLjE3ODA5MDEzOTMuQ2owS0NRandyWlRSQmhEU0FSSXNBSGlkWWZmYzJVUXhzN2h4bmRrRXRuaV9hTzhjMTE2bGNYSEc5bE5mcmRBTGUwakwycWJsbHR4SzdOTWFBaFZURUFMd193Y0I.*_gcl_au*OTA4MzgwMTkuMTc4MjM1MDY5NQ..&gatewayAdapt=glo2usa,Ali Express
Keycaps,Keycaps,1,8.84,https://www.amazon.com/gp/product/B0CZLGYJ48/ref=ewc_pr_img_1?smid=A2ASRUM4X82REY&th=1,Amazon
Stabliizer,Stabilizing Keys,1,7.46,https://www.aliexpress.us/item/3256806342416791.html?spm=a2g0o.productlist.0.0.112352680K8Aiv&mp=1&pdp_npi=6%40dis%21USD%21USD+8.16%21USD+7.46%21%21USD+7.46%21%21%21%402103212317823524874202004ea06e%2112000037543723490%21ct%21US%217547000002%21%211%210%21&gatewayAdapt=glo2usa,Ali Express
SOD-123,Diodes,1,1.93,https://www.aliexpress.us/item/3256810466885186.html?spm=a2g0o.detail.0.0.66b9beSObeSODp&mp=1&pdp_npi=6%40dis%21USD%21USD+3.86%21USD+1.93%21%21USD+1.93%21%21%21%402103212317823529723976433ea06e%2112000053087454998%21ct%21US%217547000002%21%211%210%21&gatewayAdapt=glo2usa,Ali Express
Foam Gasket,Gasket Mount,1,5.81,https://www.aliexpress.us/item/3256805377257558.html?spm=a2g0o.detail.0.0.6aa8avmLavmLxS&mp=1&pdp_npi=6%40dis%21USD%21USD+5.81%21USD+5.81%21%21USD+5.81%21%21%21%402103212317823527347438243ea06e%2112000035901359320%21ct%21US%217547000002%21%211%210%21&gatewayAdapt=glo2usa,Ali Express
Ec11 Rotary Encoder,Knob,3,2.65,https://www.aliexpress.us/item/3256807905633617.html?spm=a2g0o.productlist.main.1.cc63gAWPgAWPk3&algo_pvid=cbd3de2e-7ac3-4bae-a663-01251d6630d9&algo_exp_id=cbd3de2e-7ac3-4bae-a663-01251d6630d9-0&pdp_ext_f=%7B%22order%22%3A%22551%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.35%210.99%21%21%213.35%210.99%21%4021030a4b17760592452258933ed8db%2112000043680120684%21sea%21US%217547000002%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab8015793%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537387&curPageLogUid=WXUKcUE6ifw6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008091948369%7C_p_origin_prod%3A,Ali Express
Tenstar rp2040 Zero,Microcontroller,2,2.26,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.2.4ee76ed1ZBjVWc&productIds=1005007170764646%3A12000039691235237&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007170764646%7C_p_origin_prod%3A1005005618101831&pvid=24b1b4a4-ad2e-4def-b067-1604bb128a50&_gl=1*1cj1nkb*_gcl_aw*R0NMLjE3ODA5MDEzOTMuQ2owS0NRandyWlRSQmhEU0FSSXNBSGlkWWZmYzJVUXhzN2h4bmRrRXRuaV9hTzhjMTE2bGNYSEc5bE5mcmRBTGUwakwycWJsbHR4SzdOTWFBaFZURUFMd193Y0I.*_gcl_dc*R0NMLjE3ODA5MDEzOTMuQ2owS0NRandyWlRSQmhEU0FSSXNBSGlkWWZmYzJVUXhzN2h4bmRrRXRuaV9hTzhjMTE2bGNYSEc5bE5mcmRBTGUwakwycWJsbHR4SzdOTWFBaFZURUFMd193Y0I.*_gcl_au*OTA4MzgwMTkuMTc4MjM1MDY5NQ..*_ga*MTUwODU0MTgyNS4xNzgyMzUwNzI1*_ga_VED1YSGNC7*czE3ODIzNTA3MjUkbzEkZzEkdDE3ODIzNTA5MjkkajMzJGwwJGgw,Ali Express
Soldering Wire,Soldering,1,1.13,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.2.4ee76ed1ZBjVWc&productIds=1005007170764646%3A12000039691235237&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007170764646%7C_p_origin_prod%3A1005005618101831&pvid=24b1b4a4-ad2e-4def-b067-1604bb128a50&_gl=1*1cj1nkb*_gcl_aw*R0NMLjE3ODA5MDEzOTMuQ2owS0NRandyWlRSQmhEU0FSSXNBSGlkWWZmYzJVUXhzN2h4bmRrRXRuaV9hTzhjMTE2bGNYSEc5bE5mcmRBTGUwakwycWJsbHR4SzdOTWFBaFZURUFMd193Y0I.*_gcl_dc*R0NMLjE3ODA5MDEzOTMuQ2owS0NRandyWlRSQmhEU0FSSXNBSGlkWWZmYzJVUXhzN2h4bmRrRXRuaV9hTzhjMTE2bGNYSEc5bE5mcmRBTGUwakwycWJsbHR4SzdOTWFBaFZURUFMd193Y0I.*_gcl_au*OTA4MzgwMTkuMTc4MjM1MDY5NQ..*_ga*MTUwODU0MTgyNS4xNzgyMzUwNzI1*_ga_VED1YSGNC7*czE3ODIzNTA3MjUkbzEkZzEkdDE3ODIzNTA5MjkkajMzJGwwJGgw,Ali Express
