Name,Purpose,Quantity,Total(USD),Link,Distributor
PCB,PCB,5,11.2,https://cart.jlcpcb.com/shopcart/cart/?_t=1776838166250&spm=cart.2001&up_spm=Jlcpcb.Loginpage.1003,JLCPCB
Acrylic Sheet,Acrylic Cover,1,7.02,https://www.aliexpress.us/item/3256804556291038.html?spm=a2g0o.productlist.main.1.45824b4bmC0RPC&algo_pvid=e88180ec-7a02-4a10-a820-a0c00aaf9dc2&algo_exp_id=e88180ec-7a02-4a10-a820-a0c00aaf9dc2-0&pdp_ext_f=%7B%22order%22%3A%226%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.06%211.52%21%21%217.06%211.52%21%402103123917760683719648104e38bd%2112000030310589080%21sea%21US%217547000002%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab8015793%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537339&curPageLogUid=5PkwIms7kpVy&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004742605790%7C_p_origin_prod%3A,Ali Express
M2 Screws,Screws,1,6.29,https://www.aliexpress.us/item/2251832624537980.html?spm=a2g0o.productlist.main.4.65974ed6iw1cgj&aem_p4p_detail=202604130110451610122831361660000825076&algo_pvid=6402c7c9-280b-4c35-b212-6754f031e04e&algo_exp_id=6402c7c9-280b-4c35-b212-6754f031e04e-3&pdp_ext_f=%7B%22order%22%3A%2252367%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.29%210.99%21%21%211.29%210.99%21%402101f70717760678452566882eba52%2112000037550700828%21sea%21US%217547000002%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab8015793%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537367&curPageLogUid=DUjxOlSnQPoB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32810852732%7C_p_origin_prod%3A&search_p4p_id=202604130110451610122831361660000825076_1,Ali Express
Keycaps,Keycaps,1,10.99,https://www.amazon.com/dagaladoo-White-Jade-Transmittance-Mechanical/dp/B0D6BRJSK8/ref=sr_1_2?dib=eyJ2IjoiMSJ9.uXlMLtL6N9OCrH0epyiizAx9pvPOKnDsbwLf7yD4zkJIasbuf65wSDJfj4S4Cngjp2uN3K2GHfB80Qatf68QfT4ZNHcBtEHBZSKWS8hk6HP3QJq2u0bFqwLEh2Y9El8TdmhyAN4HPZ69Igg-strmTBjLPrXfY6d-uXsEtq17CnHqbDZZ7XvCRKhkNouiY39lhfXD1FAUcKGMTV5z0uTeXpV-67gZN8Yqs2tOZGcX62bcGxr0Cc7jeFu-08Tc-sS0PpvmbROuaSRfFeiryLLZFG7FFU6HM6d1Q6GgdUb1zF0.56lQOB7mdlgeyoS2UilPFGX2sGpUSajvu0hEqNS1Xww&dib_tag=se&keywords=keycaps&qid=1776066810&refinements=p_85%3A2470955011%2Cp_36%3A1000-1500&rnid=386442011&rps=1&s=electronics&sr=1-2&th=1,Amazon
Stabliizer,Stabilizing Keys,1,9.99,https://www.amazon.com/DUROCK-Stabilizer-Innovative-Pre-Clipped-Stabilizers/dp/B0D4QF6TGB/ref=sr_1_1_sspa?crid=2P6HWSNJ6QM3&dib=eyJ2IjoiMSJ9.m7YlyAfyx4lsATsnu2MHFeZL0oRDFNXp6T_IN3Y4U1W9DMWFrNW9bNGY686MYjoFdC1WgRoD2gtGn6zyOsoWpTY7g3SgMpIZK4QlbZzrMI_BINg6P9KjTJKLn05MvfIxaOdgMRJvgBsY26e9D5dcLphBRLP3zU6hW1avjjhQpyosxQX11JafpA-g0d1xem_EsuErscgSRG3saRBUVPkY3nBEaoIJ2p4jo0mrHPYWZXRS77ZNq9ugA0LIh5xl8kUpWVVa--29P2BgQp1p23472ILT4uWLlkmYBtfH5XEBrDg.7UTgPII8_VG6jZzIcrlNRBY8spRqyBc8Z9_Dsl-Z-z8&dib_tag=se&keywords=stabilizer%2Bkeyboard&qid=1776066967&s=electronics&sprefix=stabilizer%2Bkeyboar%2Celectronics%2C427&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,Amazon
SOD-123,Diodes,1,1.93,https://www.aliexpress.us/item/3256810466885186.html?spm=a2g0o.cart.0.0.472a38daRMn8Ym&mp=1&pdp_npi=6%40dis%21USD%21USD+3.68%21USD+1.84%21%21USD+1.84%21%21%21%402103212517770031388897613eb795%2112000053087454998%21ct%21US%217547000002%21%211%210%21&_gl=1*3o9mk5*_gcl_aw*R0NMLjE3NzYwNTg1MDMuQ2p3S0NBandoZTNPQmhBQkVpd0E2MzkyekRuNEp6SUgxNkgxbkNXMEFSVUpsTFdBMU4tOGVxNXBsdkVpelIwTUFIeERQazFId2NpQmVCb0NLaGNRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NzQxNjAxMDMuQ2p3S0NBandnX25OQmhBR0Vpd0FpWVBZQV90M180S2FZemE5eXVJWnQwZVVyakpuYWpEUWV4TEg5QUs0ZzgxMEZ0ZTJTMkt5RkNyQlZob0NHN01RQXZEX0J3RQ..*_gcl_au*MTI3MzQ0MDMzMy4xNzczODcxODc5*_ga*MTcwMjQ4NTI2LjE3NzcwMDMxMzk.*_ga_VED1YSGNC7*czE3NzcwMDMxMzkkbzEkZzAkdDE3NzcwMDMxMzkkajYwJGwwJGgw&gatewayAdapt=glo2usa,Ali Express
Foam Gasket,Gasket Mount,1,8.62,https://www.aliexpress.us/item/3256805558411314.html?spm=a2g0o.productlist.main.7.6d4ayPrXyPrXxa&algo_pvid=6fbae6ea-f790-4092-a83d-f342e6c327c8&algo_exp_id=6fbae6ea-f790-4092-a83d-f342e6c327c8-6&pdp_ext_f=%7B%22order%22%3A%2210%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.62%213.12%21%21%218.62%213.12%21%40210328c017760596546458407e461b%2112000034189759391%21sea%21US%217547000002%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab8015793%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537339&curPageLogUid=9J1j,Ali Express
Ec11 Rotary Encoder,Knob,3,0.99,https://www.aliexpress.us/item/3256807905633617.html?spm=a2g0o.productlist.main.1.cc63gAWPgAWPk3&algo_pvid=cbd3de2e-7ac3-4bae-a663-01251d6630d9&algo_exp_id=cbd3de2e-7ac3-4bae-a663-01251d6630d9-0&pdp_ext_f=%7B%22order%22%3A%22551%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.35%210.99%21%21%213.35%210.99%21%4021030a4b17760592452258933ed8db%2112000043680120684%21sea%21US%217547000002%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab8015793%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537387&curPageLogUid=WXUKcUE6ifw6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008091948369%7C_p_origin_prod%3A,Ali Express
Tenstar rp2040 Zero,Microcontroller,3,2.79,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.1.1bbf28963PeWEG&productIds=1005006860891870%3A12000038542559647&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006860891870%7C_p_origin_prod%3A1005006865919374&pvid=d14c9b51-bd58-4eae-9eae-655661901e48&_gl=1*64p3hn*_gcl_aw*R0NMLjE3NzYwNTg1MDMuQ2p3S0NBandoZTNPQmhBQkVpd0E2MzkyekRuNEp6SUgxNkgxbkNXMEFSVUpsTFdBMU4tOGVxNXBsdkVpelIwTUFIeERQazFId2NpQmVCb0NLaGNRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NzQxNjAxMDMuQ2p3S0NBandnX25OQmhBR0Vpd0FpWVBZQV90M180S2FZemE5eXVJWnQwZVVyakpuYWpEUWV4TEg5QUs0ZzgxMEZ0ZTJTMkt5RkNyQlZob0NHN01RQXZEX0J3RQ..*_gcl_au*MTI3MzQ0MDMzMy4xNzczODcxODc5*_ga*MTEzODc1ODQ2NC4xNzc1MjgzNjA0*_ga_VED1YSGNC7*czE3NzYwNTc5OTIkbzIkZzEkdDE3NzYwNTg4MTAkajYwJGwwJGgw,Ali Express
Soldering Kit,Soldering,1,13.99,https://www.amazon.com/gp/product/B087767KNW/ref=sw_img_1?smid=A19YGYI63H9AEE&th=1,Amazon
